[ORDER] SELL | Company: Roche Holding AG (ROG.SW) | Price: 494.962 | Quantity: 28
[ORDER] SELL | Company: Apple Inc. (AAPL) | Price: 118.34 | Quantity: 6
[ORDER] SELL | Company: Visa Inc. (V) | Price: 333.367 | Quantity: 18
[ORDER] SELL | Company: Samsung Electronics (005930.KQ) | Price: 193.992 | Quantity: 50
[ORDER] BUY | Company: Exxon Mobil Corp. (XOM) | Price: 289.372 | Quantity: 23
[ORDER] BUY | Company: Shopify Inc. (SHOP.TO) | Price: 456.147 | Quantity: 30
[ORDER] BUY | Company: BHP Group Ltd. (BHP.AX) | Price: 351.732 | Quantity: 19
[ORDER] SELL | Company: Rio Tinto Ltd. (RIO.AX) | Price: 16.8327 | Quantity: 20
[ORDER] SELL | Company: Samsung Electronics (005930.KQ) | Price: 327.427 | Quantity: 22
[ORDER] BUY | Company: Tesla Inc. (TSLA) | Price: 928.601 | Quantity: 29
[ORDER] BUY | Company: UnitedHealth Group Inc. (UNH) | Price: 928.113 | Quantity: 25
[ORDER] BUY | Company: Microsoft Corp. (MSFT) | Price: 651.465 | Quantity: 26
[ORDER] SELL | Company: Air Canada (AC.TO) | Price: 106.346 | Quantity: 5
[ORDER] BUY | Company: Tesla Inc. (TSLA) | Price: 806.061 | Quantity: 6
[ORDER] SELL | Company: ICICI Bank Ltd. (ICICIBANK.NS) | Price: 523.995 | Quantity: 40
[ORDER] SELL | Company: Tata Consultancy Services (TCS.NS) | Price: 645.211 | Quantity: 32
[ORDER] SELL | Company: Tata Consultancy Services (TCS.NS) | Price: 645.211 | Quantity: 32
[ORDER] SELL | Company: Tesla Inc. (TSLA) | Price: 500.436 | Quantity: 34
[MATCH] Company: Tesla Inc. (TSLA) | Matching Buy @806.061 with Sell @500.436 | Quantity: 6
[TRADE] Company: Tesla Inc. (TSLA) | Buy @806.061 | Sell @500.436 | Quantity: 6
[ORDER] SELL | Company: Samsung Electronics (005930.KQ) | Price: 311.323 | Quantity: 28
[ORDER] BUY | Company: Johnson & Johnson (JNJ) | Price: 130.851 | Quantity: 31
[ORDER] SELL | Company: Nestlé S.A. (NESN.SW) | Price: 802.833 | Quantity: 23
[ORDER] SELL | Company: Walmart Inc. (WMT) | Price: 21.1227 | Quantity: 24
[ORDER] BUY | Company: Alphabet Inc. (GOOGL) | Price: 419.106 | Quantity: 27
[ORDER] BUY | Company: Tencent Holdings Ltd. (0700.HK) | Price: 123.204 | Quantity: 9
[ORDER] SELL | Company: Nestlé S.A. (NESN.SW) | Price: 163.806 | Quantity: 2
[ORDER] BUY | Company: Alphabet Inc. (GOOGL) | Price: 598.812 | Quantity: 44
[ORDER] SELL | Company: Toronto-Dominion Bank (TD.TO) | Price: 36.9586 | Quantity: 17
[MATCH] Company: Toronto-Dominion Bank (TD.TO) | Matching Buy @395.46 with Sell @36.9586 | Quantity: 16
[TRADE] Company: Toronto-Dominion Bank (TD.TO) | Buy @395.46 | Sell @36.9586 | Quantity: 16
[ORDER] BUY | Company: Reliance Industries Ltd. (RELIANCE.NS) | Price: 188.899 | Quantity: 18
[ORDER] SELL | Company: Commonwealth Bank of Australia (CBA.AX) | Price: 42.7337 | Quantity: 16
[ORDER] BUY | Company: SoftBank Group Corp. (9984.T) | Price: 664.617 | Quantity: 45
[ORDER] SELL | Company: Alibaba Group Holding Ltd. (9988.HK) | Price: 539.496 | Quantity: 26
[ORDER] SELL | Company: Infosys Ltd. (INFY.NS) | Price: 737.829 | Quantity: 38
[MATCH] Company: Infosys Ltd. (INFY.NS) | Matching Buy @908.35 with Sell @737.829 | Quantity: 29
[TRADE] Company: Infosys Ltd. (INFY.NS) | Buy @908.35 | Sell @737.829 | Quantity: 29
[ORDER] SELL | Company: Amazon.com Inc. (AMZN) | Price: 713.679 | Quantity: 2
[ORDER] BUY | Company: Johnson & Johnson (JNJ) | Price: 881.239 | Quantity: 22
[ORDER] SELL | Company: Meta Platforms Inc. (META) | Price: 151.716 | Quantity: 33
[MATCH] Company: Meta Platforms Inc. (META) | Matching Buy @530.55 with Sell @151.716 | Quantity: 21
[TRADE] Company: Meta Platforms Inc. (META) | Buy @530.55 | Sell @151.716 | Quantity: 21
[ORDER] SELL | Company: Sony Corporation (6758.T) | Price: 327.661 | Quantity: 22
[ORDER] SELL | Company: Exxon Mobil Corp. (XOM) | Price: 637.186 | Quantity: 12
[ORDER] SELL | Company: Walmart Inc. (WMT) | Price: 842.632 | Quantity: 26
[ORDER] BUY | Company: Commonwealth Bank of Australia (CBA.AX) | Price: 717.64 | Quantity: 19
[ORDER] BUY | Company: Alphabet Inc. (GOOGL) | Price: 37.12 | Quantity: 22
[ORDER] BUY | Company: UnitedHealth Group Inc. (UNH) | Price: 257.953 | Quantity: 39
[ORDER] SELL | Company: Visa Inc. (V) | Price: 790.953 | Quantity: 20
[ORDER] BUY | Company: Nestlé S.A. (NESN.SW) | Price: 344.326 | Quantity: 7
[ORDER] SELL | Company: Tata Consultancy Services (TCS.NS) | Price: 168.703 | Quantity: 44
[ORDER] BUY | Company: UnitedHealth Group Inc. (UNH) | Price: 709.921 | Quantity: 14
[ORDER] BUY | Company: Unilever plc (ULVR.L) | Price: 593.234 | Quantity: 36
[ORDER] SELL | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 81.1341 | Quantity: 9
[ORDER] BUY | Company: Air Canada (AC.TO) | Price: 467.285 | Quantity: 19
[ORDER] BUY | Company: Walmart Inc. (WMT) | Price: 759.673 | Quantity: 15
[ORDER] SELL | Company: Volkswagen AG (VOW.DE) | Price: 596.574 | Quantity: 3
[ORDER] SELL | Company: TotalEnergies SE (TTE.PA) | Price: 878.053 | Quantity: 18
[ORDER] SELL | Company: Microsoft Corp. (MSFT) | Price: 790.562 | Quantity: 6
[ORDER] BUY | Company: Unilever plc (ULVR.L) | Price: 366.035 | Quantity: 11
[ORDER] BUY | Company: Tencent Holdings Ltd. (0700.HK) | Price: 488.597 | Quantity: 23
[ORDER] SELL | Company: Unilever plc (ULVR.L) | Price: 687.924 | Quantity: 35
[ORDER] SELL | Company: JPMorgan Chase & Co. (JPM) | Price: 904.244 | Quantity: 44
[ORDER] SELL | Company: Air Canada (AC.TO) | Price: 978.284 | Quantity: 12
[ORDER] SELL | Company: Alibaba Group Holding Ltd. (9988.HK) | Price: 688.486 | Quantity: 13
[ORDER] SELL | Company: Unilever plc (ULVR.L) | Price: 653.135 | Quantity: 6
[ORDER] BUY | Company: Procter & Gamble Co. (PG) | Price: 40.178 | Quantity: 48
[ORDER] BUY | Company: Tencent Holdings Ltd. (0700.HK) | Price: 553.283 | Quantity: 24
[ORDER] SELL | Company: Shopify Inc. (SHOP.TO) | Price: 52.6496 | Quantity: 35
[ORDER] SELL | Company: Exxon Mobil Corp. (XOM) | Price: 210.671 | Quantity: 39
[ORDER] SELL | Company: Walmart Inc. (WMT) | Price: 666.986 | Quantity: 8
[ORDER] BUY | Company: Tesla Inc. (TSLA) | Price: 244.79 | Quantity: 40
[ORDER] SELL | Company: Johnson & Johnson (JNJ) | Price: 308 | Quantity: 39
[ORDER] BUY | Company: Tata Consultancy Services (TCS.NS) | Price: 643.568 | Quantity: 31
[ORDER] SELL | Company: Rio Tinto Ltd. (RIO.AX) | Price: 26.3378 | Quantity: 32
[ORDER] BUY | Company: Rio Tinto Ltd. (RIO.AX) | Price: 877.231 | Quantity: 41
[ORDER] SELL | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 106.302 | Quantity: 17
[ORDER] BUY | Company: Shopify Inc. (SHOP.TO) | Price: 295.274 | Quantity: 41
[ORDER] BUY | Company: Toronto-Dominion Bank (TD.TO) | Price: 218.048 | Quantity: 10
[ORDER] SELL | Company: CSL Ltd. (CSL.AX) | Price: 810.42 | Quantity: 42
[ORDER] SELL | Company: Alibaba Group Holding Ltd. (9988.HK) | Price: 183.077 | Quantity: 43
[ORDER] SELL | Company: Canadian National Railway Co. (CNR.TO) | Price: 117.458 | Quantity: 38
[ORDER] SELL | Company: CSL Ltd. (CSL.AX) | Price: 507.901 | Quantity: 29
[ORDER] SELL | Company: Air Canada (AC.TO) | Price: 461.772 | Quantity: 6
[ORDER] SELL | Company: Toyota Motor Corp. (7203.T) | Price: 121.15 | Quantity: 34
[ORDER] SELL | Company: Johnson & Johnson (JNJ) | Price: 550.019 | Quantity: 37
[ORDER] SELL | Company: Air Canada (AC.TO) | Price: 673.695 | Quantity: 36
[MATCH] Company: Air Canada (AC.TO) | Matching Buy @701.831 with Sell @673.695 | Quantity: 33
[TRADE] Company: Air Canada (AC.TO) | Buy @701.831 | Sell @673.695 | Quantity: 33
[ORDER] SELL | Company: Alibaba Group Holding Ltd. (9988.HK) | Price: 558.102 | Quantity: 37
[ORDER] BUY | Company: SoftBank Group Corp. (9984.T) | Price: 542.285 | Quantity: 1
[ORDER] BUY | Company: Siemens AG (SIE.DE) | Price: 257 | Quantity: 31
[ORDER] SELL | Company: Unilever plc (ULVR.L) | Price: 2.75547 | Quantity: 25
[ORDER] BUY | Company: Shell plc (SHEL.L) | Price: 878.922 | Quantity: 28
[ORDER] BUY | Company: Sony Corporation (6758.T) | Price: 541.316 | Quantity: 42
[ORDER] SELL | Company: Reliance Industries Ltd. (RELIANCE.NS) | Price: 981.173 | Quantity: 39
[ORDER] BUY | Company: Procter & Gamble Co. (PG) | Price: 196.756 | Quantity: 7
[ORDER] SELL | Company: Unilever plc (ULVR.L) | Price: 728.404 | Quantity: 50
[ORDER] SELL | Company: LVMH Moët Hennessy Louis Vuitton (MC.PA) | Price: 607.253 | Quantity: 19
[ORDER] BUY | Company: Samsung Electronics (005930.KQ) | Price: 334.632 | Quantity: 28
[ORDER] BUY | Company: Tencent Holdings Ltd. (0700.HK) | Price: 627.263 | Quantity: 24
[ORDER] BUY | Company: Amazon.com Inc. (AMZN) | Price: 482.124 | Quantity: 19
[ORDER] SELL | Company: Samsung Electronics (005930.KQ) | Price: 432.171 | Quantity: 23
[ORDER] SELL | Company: Royal Bank of Canada (RY.TO) | Price: 275.125 | Quantity: 16
[ORDER] SELL | Company: Canadian National Railway Co. (CNR.TO) | Price: 822.99 | Quantity: 13
[ORDER] BUY | Company: Toyota Motor Corp. (7203.T) | Price: 44.7955 | Quantity: 48
[ORDER] SELL | Company: Bank of Montreal (BMO.TO) | Price: 247.298 | Quantity: 19
[MATCH] Company: Bank of Montreal (BMO.TO) | Matching Buy @862.21 with Sell @247.298 | Quantity: 19
[TRADE] Company: Bank of Montreal (BMO.TO) | Buy @862.21 | Sell @247.298 | Quantity: 19
[ORDER] SELL | Company: Shopify Inc. (SHOP.TO) | Price: 44.8245 | Quantity: 3
[ORDER] SELL | Company: Meta Platforms Inc. (META) | Price: 757.29 | Quantity: 17
[ORDER] BUY | Company: Infosys Ltd. (INFY.NS) | Price: 976.24 | Quantity: 17
[ORDER] BUY | Company: SoftBank Group Corp. (9984.T) | Price: 144.799 | Quantity: 8
[ORDER] BUY | Company: Walmart Inc. (WMT) | Price: 139.388 | Quantity: 4
[ORDER] BUY | Company: Rio Tinto Ltd. (RIO.AX) | Price: 931.615 | Quantity: 24
[ORDER] BUY | Company: Nestlé S.A. (NESN.SW) | Price: 924.436 | Quantity: 49
[ORDER] SELL | Company: UnitedHealth Group Inc. (UNH) | Price: 265.501 | Quantity: 47
[MATCH] Company: UnitedHealth Group Inc. (UNH) | Matching Buy @709.921 with Sell @265.501 | Quantity: 14
[TRADE] Company: UnitedHealth Group Inc. (UNH) | Buy @709.921 | Sell @265.501 | Quantity: 14
[ORDER] BUY | Company: Toronto-Dominion Bank (TD.TO) | Price: 867.905 | Quantity: 16
[MATCH] Company: Toronto-Dominion Bank (TD.TO) | Matching Buy @867.905 with Sell @645.542 | Quantity: 16
[TRADE] Company: Toronto-Dominion Bank (TD.TO) | Buy @867.905 | Sell @645.542 | Quantity: 16
[ORDER] SELL | Company: Tesla Inc. (TSLA) | Price: 423.175 | Quantity: 44
[MATCH] Company: Tesla Inc. (TSLA) | Matching Buy @928.601 with Sell @423.175 | Quantity: 29
[TRADE] Company: Tesla Inc. (TSLA) | Buy @928.601 | Sell @423.175 | Quantity: 29
[ORDER] SELL | Company: Tata Consultancy Services (TCS.NS) | Price: 435.677 | Quantity: 45
[ORDER] SELL | Company: UnitedHealth Group Inc. (UNH) | Price: 984.873 | Quantity: 43
[ORDER] SELL | Company: Roche Holding AG (ROG.SW) | Price: 845.939 | Quantity: 11
[ORDER] SELL | Company: Apple Inc. (AAPL) | Price: 205.701 | Quantity: 21
[ORDER] SELL | Company: BP plc (BP.L) | Price: 486.311 | Quantity: 43
[ORDER] SELL | Company: TotalEnergies SE (TTE.PA) | Price: 801.135 | Quantity: 36
[ORDER] SELL | Company: Sony Group Corp. (6758.T) | Price: 284.151 | Quantity: 40
[MATCH] Company: Sony Group Corp. (6758.T) | Matching Buy @383.485 with Sell @284.151 | Quantity: 27
[TRADE] Company: Sony Group Corp. (6758.T) | Buy @383.485 | Sell @284.151 | Quantity: 27
[ORDER] BUY | Company: Walmart Inc. (WMT) | Price: 769.596 | Quantity: 7
[ORDER] BUY | Company: Walmart Inc. (WMT) | Price: 769.596 | Quantity: 7
[ORDER] SELL | Company: Royal Bank of Canada (RY.TO) | Price: 792.749 | Quantity: 41
[ORDER] BUY | Company: NVIDIA Corp. (NVDA) | Price: 463.377 | Quantity: 14
[ORDER] SELL | Company: Toyota Motor Corp. (7203.T) | Price: 210.729 | Quantity: 50
[ORDER] SELL | Company: Walmart Inc. (WMT) | Price: 954.604 | Quantity: 22
[ORDER] BUY | Company: ICICI Bank Ltd. (ICICIBANK.NS) | Price: 681.158 | Quantity: 3
[ORDER] BUY | Company: Air Canada (AC.TO) | Price: 524.764 | Quantity: 12
[ORDER] SELL | Company: Unilever plc (ULVR.L) | Price: 147.453 | Quantity: 32
[ORDER] BUY | Company: SAP SE (SAP.DE) | Price: 272.489 | Quantity: 12
[ORDER] BUY | Company: Apple Inc. (AAPL) | Price: 668.367 | Quantity: 41
[ORDER] SELL | Company: Bank of Montreal (BMO.TO) | Price: 233.788 | Quantity: 33
[ORDER] SELL | Company: Roche Holding AG (ROG.SW) | Price: 73.6535 | Quantity: 36
[ORDER] SELL | Company: Alphabet Inc. (GOOGL) | Price: 934.964 | Quantity: 10
[ORDER] BUY | Company: SoftBank Group Corp. (9984.T) | Price: 294.087 | Quantity: 8
[ORDER] BUY | Company: Visa Inc. (V) | Price: 673.064 | Quantity: 3
[ORDER] BUY | Company: Commonwealth Bank of Australia (CBA.AX) | Price: 63.841 | Quantity: 8
[ORDER] BUY | Company: Commonwealth Bank of Australia (CBA.AX) | Price: 63.841 | Quantity: 8
[ORDER] SELL | Company: Sony Group Corp. (6758.T) | Price: 381.607 | Quantity: 41
[ORDER] BUY | Company: BP plc (BP.L) | Price: 647.635 | Quantity: 34
[ORDER] SELL | Company: Rio Tinto Ltd. (RIO.AX) | Price: 702.464 | Quantity: 29
[ORDER] SELL | Company: Nestlé S.A. (NESN.SW) | Price: 186.546 | Quantity: 14
[ORDER] BUY | Company: Commonwealth Bank of Australia (CBA.AX) | Price: 873.361 | Quantity: 38
[ORDER] SELL | Company: BHP Group Ltd. (BHP.AX) | Price: 704.172 | Quantity: 40
[ORDER] BUY | Company: Samsung Electronics (005930.KQ) | Price: 562.365 | Quantity: 12
[ORDER] BUY | Company: Roche Holding AG (ROG.SW) | Price: 500.045 | Quantity: 42
[MATCH] Company: Roche Holding AG (ROG.SW) | Matching Buy @500.045 with Sell @73.6535 | Quantity: 36
[TRADE] Company: Roche Holding AG (ROG.SW) | Buy @500.045 | Sell @73.6535 | Quantity: 36
[ORDER] SELL | Company: Unilever plc (ULVR.L) | Price: 366.144 | Quantity: 17
[ORDER] SELL | Company: Unilever plc (ULVR.L) | Price: 366.144 | Quantity: 17
[ORDER] BUY | Company: Alibaba Group Holding Ltd. (9988.HK) | Price: 881.824 | Quantity: 37
[ORDER] BUY | Company: Tata Consultancy Services (TCS.NS) | Price: 33.9471 | Quantity: 24
[ORDER] BUY | Company: Samsung Electronics (005930.KQ) | Price: 133.117 | Quantity: 50
[ORDER] BUY | Company: Tencent Holdings Ltd. (0700.HK) | Price: 340.861 | Quantity: 43
[ORDER] SELL | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 747.48 | Quantity: 44
[ORDER] BUY | Company: Siemens AG (SIE.DE) | Price: 632.494 | Quantity: 13
[ORDER] SELL | Company: Procter & Gamble Co. (PG) | Price: 859.202 | Quantity: 13
[ORDER] BUY | Company: Shopify Inc. (SHOP.TO) | Price: 923.547 | Quantity: 30
[MATCH] Company: Shopify Inc. (SHOP.TO) | Matching Buy @923.547 with Sell @558.964 | Quantity: 26
[TRADE] Company: Shopify Inc. (SHOP.TO) | Buy @923.547 | Sell @558.964 | Quantity: 26
[ORDER] SELL | Company: Microsoft Corp. (MSFT) | Price: 36.6639 | Quantity: 4
[MATCH] Company: Microsoft Corp. (MSFT) | Matching Buy @768.771 with Sell @36.6639 | Quantity: 4
[TRADE] Company: Microsoft Corp. (MSFT) | Buy @768.771 | Sell @36.6639 | Quantity: 4
[ORDER] BUY | Company: Roche Holding AG (ROG.SW) | Price: 512.454 | Quantity: 29
[ORDER] BUY | Company: Rio Tinto Ltd. (RIO.AX) | Price: 85.9707 | Quantity: 30
[ORDER] BUY | Company: UnitedHealth Group Inc. (UNH) | Price: 674.869 | Quantity: 32
[ORDER] SELL | Company: Toyota Motor Corp. (7203.T) | Price: 786.296 | Quantity: 32
[ORDER] BUY | Company: Johnson & Johnson (JNJ) | Price: 237.482 | Quantity: 42
[ORDER] BUY | Company: ICICI Bank Ltd. (ICICIBANK.NS) | Price: 698.827 | Quantity: 37
[ORDER] BUY | Company: SoftBank Group Corp. (9984.T) | Price: 249.97 | Quantity: 9
[ORDER] BUY | Company: Walmart Inc. (WMT) | Price: 235.972 | Quantity: 11
[ORDER] BUY | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 606.067 | Quantity: 47
[ORDER] SELL | Company: ICICI Bank Ltd. (ICICIBANK.NS) | Price: 932.533 | Quantity: 40
[ORDER] SELL | Company: Walmart Inc. (WMT) | Price: 267.035 | Quantity: 14
[ORDER] BUY | Company: Shell plc (SHEL.L) | Price: 24.4854 | Quantity: 50
[ORDER] SELL | Company: CSL Ltd. (CSL.AX) | Price: 876.383 | Quantity: 49
[ORDER] SELL | Company: Toyota Motor Corp. (7203.T) | Price: 860.893 | Quantity: 36
[ORDER] SELL | Company: NVIDIA Corp. (NVDA) | Price: 304.337 | Quantity: 45
[MATCH] Company: NVIDIA Corp. (NVDA) | Matching Buy @463.377 with Sell @304.337 | Quantity: 14
[TRADE] Company: NVIDIA Corp. (NVDA) | Buy @463.377 | Sell @304.337 | Quantity: 14
[ORDER] BUY | Company: ICICI Bank Ltd. (ICICIBANK.NS) | Price: 258.198 | Quantity: 36
[ORDER] BUY | Company: Bank of Montreal (BMO.TO) | Price: 371.4 | Quantity: 30
[MATCH] Company: Bank of Montreal (BMO.TO) | Matching Buy @371.4 with Sell @233.788 | Quantity: 30
[TRADE] Company: Bank of Montreal (BMO.TO) | Buy @371.4 | Sell @233.788 | Quantity: 30
[ORDER] SELL | Company: Roche Holding AG (ROG.SW) | Price: 849.663 | Quantity: 26
[ORDER] BUY | Company: Unilever plc (ULVR.L) | Price: 450.271 | Quantity: 30
[MATCH] Company: Unilever plc (ULVR.L) | Matching Buy @450.271 with Sell @104.083 | Quantity: 30
[TRADE] Company: Unilever plc (ULVR.L) | Buy @450.271 | Sell @104.083 | Quantity: 30
[ORDER] SELL | Company: Procter & Gamble Co. (PG) | Price: 345.133 | Quantity: 18
[ORDER] BUY | Company: SAP SE (SAP.DE) | Price: 382.569 | Quantity: 7
[ORDER] SELL | Company: JPMorgan Chase & Co. (JPM) | Price: 562.627 | Quantity: 45
[ORDER] SELL | Company: Alphabet Inc. (GOOGL) | Price: 776.608 | Quantity: 17
[ORDER] BUY | Company: Canadian National Railway Co. (CNR.TO) | Price: 900.268 | Quantity: 23
[ORDER] SELL | Company: JPMorgan Chase & Co. (JPM) | Price: 117.943 | Quantity: 30
[ORDER] SELL | Company: Rio Tinto Ltd. (RIO.AX) | Price: 55.2976 | Quantity: 27
[MATCH] Company: Rio Tinto Ltd. (RIO.AX) | Matching Buy @877.231 with Sell @55.2976 | Quantity: 27
[TRADE] Company: Rio Tinto Ltd. (RIO.AX) | Buy @877.231 | Sell @55.2976 | Quantity: 27
[ORDER] BUY | Company: Microsoft Corp. (MSFT) | Price: 861.187 | Quantity: 26
[ORDER] SELL | Company: Sony Corporation (6758.T) | Price: 386.943 | Quantity: 1
[ORDER] SELL | Company: Apple Inc. (AAPL) | Price: 910.974 | Quantity: 42
[ORDER] BUY | Company: Royal Bank of Canada (RY.TO) | Price: 953.69 | Quantity: 34
[ORDER] SELL | Company: UnitedHealth Group Inc. (UNH) | Price: 449.915 | Quantity: 36
[MATCH] Company: UnitedHealth Group Inc. (UNH) | Matching Buy @857.298 with Sell @449.915 | Quantity: 24
[TRADE] Company: UnitedHealth Group Inc. (UNH) | Buy @857.298 | Sell @449.915 | Quantity: 24
[ORDER] BUY | Company: Alibaba Group Holding Ltd. (9988.HK) | Price: 468.625 | Quantity: 43
[ORDER] BUY | Company: Meta Platforms Inc. (META) | Price: 455.155 | Quantity: 37
[ORDER] BUY | Company: Alphabet Inc. (GOOGL) | Price: 974.492 | Quantity: 18
[ORDER] SELL | Company: Siemens AG (SIE.DE) | Price: 348.324 | Quantity: 1
[ORDER] SELL | Company: BHP Group Ltd. (BHP.AX) | Price: 595.468 | Quantity: 6
[ORDER] SELL | Company: Bank of Montreal (BMO.TO) | Price: 458.53 | Quantity: 35
[ORDER] SELL | Company: BP plc (BP.L) | Price: 120.7 | Quantity: 31
[MATCH] Company: BP plc (BP.L) | Matching Buy @896.676 with Sell @120.7 | Quantity: 31
[TRADE] Company: BP plc (BP.L) | Buy @896.676 | Sell @120.7 | Quantity: 31
[ORDER] BUY | Company: Walmart Inc. (WMT) | Price: 953.932 | Quantity: 18
[ORDER] BUY | Company: SAP SE (SAP.DE) | Price: 981.044 | Quantity: 28
[ORDER] SELL | Company: ICICI Bank Ltd. (ICICIBANK.NS) | Price: 642.655 | Quantity: 1
[ORDER] SELL | Company: Visa Inc. (V) | Price: 238.848 | Quantity: 46
[ORDER] BUY | Company: UnitedHealth Group Inc. (UNH) | Price: 799.984 | Quantity: 32
[ORDER] BUY | Company: SAP SE (SAP.DE) | Price: 195.068 | Quantity: 23
[MATCH] Company: SAP SE (SAP.DE) | Matching Buy @195.068 with Sell @148.606 | Quantity: 4
[TRADE] Company: SAP SE (SAP.DE) | Buy @195.068 | Sell @148.606 | Quantity: 4
[ORDER] SELL | Company: Bank of Montreal (BMO.TO) | Price: 451.909 | Quantity: 31
[ORDER] BUY | Company: Reliance Industries Ltd. (RELIANCE.NS) | Price: 635.478 | Quantity: 11
[ORDER] BUY | Company: HSBC Holdings plc (HSBA.L) | Price: 980.744 | Quantity: 2
[ORDER] SELL | Company: CSL Ltd. (CSL.AX) | Price: 250.721 | Quantity: 25
[ORDER] SELL | Company: Meta Platforms Inc. (META) | Price: 50.8943 | Quantity: 45
[MATCH] Company: Meta Platforms Inc. (META) | Matching Buy @194.427 with Sell @50.8943 | Quantity: 12
[TRADE] Company: Meta Platforms Inc. (META) | Buy @194.427 | Sell @50.8943 | Quantity: 12
[ORDER] SELL | Company: Rio Tinto Ltd. (RIO.AX) | Price: 390.776 | Quantity: 28
[ORDER] SELL | Company: Roche Holding AG (ROG.SW) | Price: 248.593 | Quantity: 47
[ORDER] BUY | Company: Tesla Inc. (TSLA) | Price: 28.7036 | Quantity: 11
[ORDER] SELL | Company: Amazon.com Inc. (AMZN) | Price: 146.122 | Quantity: 47
